California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
ZCTA5 92603,"20,184","10,024","10,160",39.6,39.1,40,2.66,3.12,"1,294","4,940","14,699","4,731","3,379","2,161",50.3%,24.5%,
ZCTA5 92604,"26,853","12,997","13,856",40.1,37.4,42.1,2.76,3.19,"1,308","5,987","19,703","7,379","5,391","3,552",51.6%,22.3%,
ZCTA5 92606,"21,495","10,466","11,029",34.8,33.8,35.6,2.78,3.29,"1,361","5,421","15,229","3,611","2,442","1,598",51.3%,25.2%,
ZCTA5 92610,"11,248","5,623","5,625",35.7,35.2,36.1,2.99,3.39,762,"3,449","7,434","1,312",756,395,50.0%,30.7%,
ZCTA5 92612,"27,522","13,425","14,097",30.6,29.6,31.8,2.29,2.86,965,"3,647","20,906","5,784","4,373","3,191",51.2%,13.3%,
ZCTA5 92614,"24,748","11,975","12,773",35,33.3,36.6,2.61,3.12,"1,337","5,433","18,273","4,943","3,224","2,027",51.6%,22.0%,
ZCTA5 92617,"14,044","6,721","7,323",20.6,21.1,20.3,2.52,2.83,422,"1,084","6,459",673,441,262,52.1%,7.7%,
ZCTA5 92618,"16,366","8,252","8,114",33.8,33.2,34.3,2.20,2.92,"1,114","3,194","12,716","2,296","1,619","1,108",49.6%,19.5%,
ZCTA5 92620,"38,486","18,533","19,953",37,36,37.8,2.80,3.22,"2,348","9,697","27,520","7,694","5,337","3,398",51.8%,25.2%,
ZCTA5 92624,"7,248","3,652","3,596",43.1,41.7,44.6,2.54,2.98,387,"1,425","5,550","2,259","1,662","1,111",49.6%,19.7%,
ZCTA5 92625,"12,478","5,817","6,661",50.2,50.1,50.2,2.05,2.64,459,"1,788","10,472","5,240","4,239","3,222",53.4%,14.3%,
ZCTA5 92626,"49,341","24,786","24,555",34.3,33.7,35.1,2.57,3.16,"2,839","9,349","37,266","10,178","7,458","5,392",49.8%,18.9%,
ZCTA5 92627,"61,510","31,607","29,903",33.1,32.7,33.6,2.76,3.43,"4,388","14,506","44,643","10,276","7,199","4,827",48.6%,23.6%,
ZCTA5 92629,"25,756","12,693","13,063",45.4,44,46.5,2.30,2.82,"1,174","4,497","20,511","8,656","6,523","4,537",50.7%,17.5%,
ZCTA5 92630,"59,182","29,398","29,784",37.6,35.9,39.3,2.92,3.3,"3,602","13,779","42,980","13,692","9,808","6,374",50.3%,23.3%,
ZCTA5 92637,"16,012","5,716","10,296",76.8,76.1,77.1,1.42,2.07,11,46,"15,948","15,122","14,157","12,684",64.3%,0.3%,
ZCTA5 92646,"55,224","27,076","28,148",43,41.7,44.2,2.59,3.06,"2,557","11,248","41,994","16,708","12,858","9,154",51.0%,20.4%,
ZCTA5 92647,"57,245","28,566","28,679",35.5,34.5,36.6,2.87,3.31,"3,508","13,709","41,052","12,074","9,050","6,399",50.1%,23.9%,
ZCTA5 92648,"45,317","22,719","22,598",39.9,39.1,40.7,2.31,2.91,"2,145","8,282","35,747","11,826","8,779","5,934",49.9%,18.3%,
ZCTA5 92649,"32,463","16,037","16,426",43.8,43,44.5,2.34,2.88,"1,461","5,927","25,622","10,275","7,879","5,509",50.6%,18.3%,
ZCTA5 92651,"23,881","11,977","11,904",48.3,48.5,48.2,2.11,2.73,803,"3,934","19,399","8,916","6,657","4,444",49.8%,16.5%,
ZCTA5 92653,"29,291","14,371","14,920",40.5,38.8,42.1,2.94,3.27,"1,532","6,654","21,497","7,775","5,559","3,672",50.9%,22.7%,
ZCTA5 92655,"8,337","4,111","4,226",36.9,36.3,37.5,3.52,4.01,526,"2,090","5,904","1,928","1,459","1,072",50.7%,25.1%,
ZCTA5 92656,"49,046","23,506","25,540",35.5,34.9,36,2.56,3.15,"3,720","12,498","34,879","7,087","4,662","2,965",52.1%,25.5%,
ZCTA5 92657,"9,741","4,709","5,032",43.8,45,42.7,2.58,3.01,516,"2,382","7,145","2,689","1,866","1,121",51.7%,24.5%,
ZCTA5 92660,"34,797","16,839","17,958",44.2,43.4,45,2.29,2.91,"1,402","7,125","26,631","11,456","9,079","6,735",51.6%,20.5%,
ZCTA5 92661,"3,744","1,981","1,763",44.7,43.2,46.3,2.01,2.59,102,427,"3,228","1,343","1,075",811,47.1%,11.4%,
ZCTA5 92662,"2,756","1,230","1,526",56.8,57.2,56.4,1.81,2.44,60,279,"2,429","1,451","1,213",910,55.4%,10.1%,
ZCTA5 92663,"21,649","11,377","10,272",38,36.3,40,2.06,2.72,708,"2,736","18,166","5,843","4,552","3,364",47.4%,12.6%,
ZCTA5 92672,"34,464","17,412","17,052",40.2,38.9,41.6,2.43,2.99,"1,961","6,973","26,230","9,578","7,191","5,072",49.5%,20.2%,
ZCTA5 92673,"29,309","14,613","14,696",39.1,38.6,39.5,2.96,3.25,"2,199","8,661","19,706","6,747","4,850","3,339",50.1%,29.6%,
ZCTA5 92675,"34,731","17,225","17,506",40.3,38.5,41.9,3.03,3.44,"2,148","8,538","24,754","10,092","7,720","5,433",50.4%,24.6%,
ZCTA5 92676,"1,945",989,956,47.8,48,47.6,2.44,2.91,61,353,"1,528",599,374,164,49.2%,18.1%,
ZCTA5 92677,"63,297","30,676","32,621",42.7,41.6,43.6,2.58,3.05,"3,251","14,256","46,884","17,497","12,382","8,225",51.5%,22.5%,
ZCTA5 92678,494,247,247,42.6,42.9,42.3,2.50,2.82,26,115,370,121,66,36,50.0%,23.3%,
ZCTA5 92679,"32,611","16,169","16,442",40.5,40.2,40.8,3.09,3.35,"1,478","9,676","21,539","6,124","3,694","2,025",50.4%,29.7%,
ZCTA5 92683,"89,747","44,391","45,356",38.7,38,39.4,3.40,3.74,"5,282","20,911","65,142","23,051","17,513","12,797",50.5%,23.3%,
ZCTA5 92688,"43,792","21,311","22,481",35.2,33.8,36.3,2.82,3.32,"3,022","12,896","29,323","6,154","4,044","2,598",51.3%,29.4%,
ZCTA5 92691,"47,582","23,526","24,056",40.8,39,42.5,2.87,3.24,"2,447","10,804","34,805","12,549","9,457","6,568",50.6%,22.7%,
ZCTA5 92692,"47,222","22,763","24,459",43.4,42,44.6,2.69,3.12,"2,273","10,906","34,474","13,651","10,126","7,128",51.8%,23.1%,
ZCTA5 92694,"21,944","10,833","11,111",32,31.9,32.1,3.29,3.6,"2,804","8,530","13,001","1,608","1,017",578,50.6%,38.9%,
ZCTA5 92701,"53,908","27,732","26,176",27,27,27.1,4.26,4.53,"5,652","18,435","32,643","5,793","4,015","2,745",48.6%,34.2%,
ZCTA5 92703,"65,445","34,003","31,442",29.1,28.8,29.5,4.96,4.86,"5,699","20,146","41,757","9,202","6,563","4,530",48.0%,30.8%,
ZCTA5 92704,"88,123","44,951","43,172",29.8,29.2,30.5,4.50,4.6,"7,275","26,170","57,357","13,145","9,131","6,125",49.0%,29.7%,
ZCTA5 92705,"44,706","22,017","22,689",37.8,36.2,39.2,3.07,3.43,"2,854","11,460","31,365","11,365","8,738","6,482",50.8%,25.6%,
ZCTA5 92706,"36,457","18,347","18,110",30.6,29.6,31.7,3.87,4.16,"3,209","11,074","23,611","6,037","4,367","3,020",49.7%,30.4%,
ZCTA5 92707,"59,492","30,423","29,069",28.9,28.7,29.2,4.64,4.72,"5,134","17,829","38,543","8,006","5,466","3,585",48.9%,30.0%,
ZCTA5 92708,"56,004","27,295","28,709",42.3,40.9,43.7,2.95,3.34,"2,637","11,859","41,944","17,096","13,326","9,734",51.3%,21.2%,
ZCTA5 92780,"57,741","28,156","29,585",32.8,31.7,33.9,3.10,3.56,"4,375","15,378","39,907","10,669","7,814","5,599",51.2%,26.6%,
ZCTA5 92782,"23,032","11,090","11,942",36.1,35.6,36.5,2.69,3.2,"1,672","6,102","16,327","3,851","2,579","1,599",51.8%,26.5%,
ZCTA5 92801,"62,068","30,793","31,275",30.9,29.9,32,3.51,3.92,"5,318","18,072","41,039","10,521","7,731","5,493",50.4%,29.1%,
ZCTA5 92802,"42,709","21,360","21,349",30.6,29.8,31.5,3.66,4.01,"3,531","12,530","28,056","6,981","5,123","3,656",50.0%,29.3%,
ZCTA5 92804,"85,914","42,316","43,598",33,32,34,3.46,3.84,"6,378","22,830","59,088","16,396","11,963","8,575",50.7%,26.6%,
ZCTA5 92805,"70,401","35,868","34,533",29,28.8,29.3,3.96,4.3,"6,255","21,572","45,083","9,395","6,555","4,319",49.1%,30.6%,
ZCTA5 92806,"37,173","18,685","18,488",32.1,31.2,33.1,3.15,3.67,"2,691","9,170","26,288","6,990","5,172","3,675",49.7%,24.7%,
ZCTA5 92807,"36,171","17,695","18,476",41.9,40.8,42.9,2.87,3.22,"1,874","7,923","26,862","10,631","7,842","5,220",51.1%,21.9%,
ZCTA5 92808,"20,039","9,761","10,278",39.7,38.6,40.6,2.75,3.2,"1,127","5,010","14,322","4,179","2,829","1,775",51.3%,25.0%,
ZCTA5 92821,"35,533","17,338","18,195",38.7,37.1,40.2,2.72,3.21,"1,891","8,048","26,060","8,812","6,506","4,593",51.2%,22.6%,
ZCTA5 92823,"3,613","1,757","1,856",38.6,38.7,38.6,3.13,3.37,256,989,"2,497",755,525,330,51.4%,27.4%,
ZCTA5 92831,"34,204","16,728","17,476",29.7,29.6,29.8,2.62,3.23,"1,759","6,658","24,057","6,161","4,538","3,292",51.1%,19.5%,
ZCTA5 92832,"24,752","12,419","12,333",31.7,31.1,32.4,3.01,3.7,"1,756","6,277","17,263","4,368","3,239","2,327",49.8%,25.4%,
ZCTA5 92833,"51,767","25,643","26,124",36,35.2,36.9,3.23,3.58,"3,256","13,492","35,946","10,614","7,708","5,363",50.5%,26.1%,
ZCTA5 92835,"24,010","11,414","12,596",43.5,41.4,45.4,2.67,3.15,"1,192","5,100","18,023","7,650","6,092","4,753",52.5%,21.2%,
ZCTA5 92840,"54,083","26,955","27,128",34.5,33.5,35.4,3.63,3.96,"3,871","13,966","37,573","10,803","7,790","5,527",50.2%,25.8%,
ZCTA5 92841,"32,845","16,368","16,477",37.1,36.4,37.8,3.56,3.86,"2,077","7,906","23,473","7,505","5,500","3,906",50.2%,24.1%,
ZCTA5 92843,"45,214","22,754","22,460",33.9,33.3,34.4,4.13,4.3,"3,247","12,477","30,585","8,555","6,155","4,386",49.7%,27.6%,
ZCTA5 92844,"24,307","12,148","12,159",36.1,35.5,36.7,3.68,3.89,"1,521","6,038","17,240","4,925","3,465","2,365",50.0%,24.8%,
ZCTA5 92845,"16,333","7,965","8,368",42.1,40.8,43.1,2.89,3.26,820,"3,785","11,883","4,490","3,473","2,621",51.2%,23.2%,
ZCTA5 92860,"27,198","15,702","11,496",39.5,38.7,40.7,3.23,3.53,"1,239","5,530","20,433","5,806","4,018","2,635",42.3%,20.3%,
ZCTA5 92861,"5,781","2,854","2,927",49.6,49.3,49.9,2.92,3.11,177,"1,157","4,375","2,293","1,836","1,409",50.6%,20.0%,
ZCTA5 92865,"19,704","9,788","9,916",35.4,34,36.6,3.08,3.38,"1,293","4,689","14,162","4,134","3,002","2,166",50.3%,23.8%,
ZCTA5 92866,"14,885","7,139","7,746",34.4,33.2,35.8,2.56,3.25,926,"3,257","10,921","3,123","2,319","1,669",52.0%,21.9%,
ZCTA5 92867,"44,515","22,134","22,381",34.4,33.5,35.1,3.20,3.49,"3,068","11,240","30,036","9,105","6,695","4,670",50.3%,25.2%,
ZCTA5 92868,"25,404","13,933","11,471",30.9,29.9,32.4,2.87,3.48,"1,538","5,441","18,403","4,085","2,866","2,055",45.2%,21.4%,
ZCTA5 92869,"37,184","18,433","18,751",38.4,36.7,39.9,3.16,3.46,"2,275","8,886","26,687","9,195","6,745","4,563",50.4%,23.9%,
ZCTA5 92870,"52,033","25,617","26,416",36.2,34.5,37.9,3.05,3.43,"3,413","12,765","37,042","12,336","9,319","6,585",50.8%,24.5%,
ZCTA5 92879,"46,745","23,130","23,615",31.1,30.1,32.2,3.42,3.8,"3,654","13,686","30,783","7,553","5,318","3,540",50.5%,29.3%,
ZCTA5 92880,"58,763","29,140","29,623",31.5,31,32,3.78,3.98,"5,459","18,937","37,338","7,791","5,233","3,305",50.4%,32.2%,
ZCTA5 92881,"30,991","15,202","15,789",35.3,33.8,36.4,3.45,3.71,"1,888","9,372","20,099","5,320","3,717","2,490",50.9%,30.2%,
ZCTA5 92882,"67,917","33,742","34,175",31.8,30.8,32.6,3.48,3.79,"5,260","20,620","43,946","10,767","7,468","4,887",50.3%,30.4%,
ZCTA5 92883,"29,301","14,411","14,890",36.1,36,36.2,3.20,3.49,"2,208","8,612","19,565","5,768","4,243","2,668",50.8%,29.4%,
ZCTA5 92886,"46,564","22,582","23,982",41.7,40.8,42.5,2.95,3.28,"2,383","11,454","33,224","12,809","9,298","6,215",51.5%,24.6%,
ZCTA5 92887,"20,006","9,803","10,203",41.6,40.6,42.4,2.98,3.28,859,"4,901","14,241","4,995","3,094","1,768",51.0%,24.5%,
ZCTA5 93001,"32,990","16,773","16,217",37.4,36.9,38,2.52,3.22,"2,105","7,298","24,442","7,650","5,396","3,590",49.2%,22.1%,
ZCTA5 93003,"50,474","24,818","25,656",39.7,37.7,41.5,2.53,3.07,"2,827","10,925","37,483","13,616","10,190","7,305",50.8%,21.6%,
ZCTA5 93004,"29,149","14,170","14,979",39.5,37.6,41.2,2.77,3.24,"1,624","7,132","20,749","7,584","5,601","3,939",51.4%,24.5%,
ZCTA5 93010,"42,901","21,109","21,792",40.8,39,42.7,2.70,3.15,"2,288","9,635","31,414","12,668","9,808","7,181",50.8%,22.5%,
ZCTA5 93012,"34,617","16,481","18,136",41.4,39.9,42.9,2.59,3.1,"1,911","7,934","25,056","10,374","7,998","5,963",52.4%,22.9%,
ZCTA5 93013,"16,091","7,949","8,142",40.7,38.9,42.6,2.73,3.2,894,"3,401","12,031","4,715","3,462","2,396",50.6%,21.1%,
ZCTA5 93015,"17,334","8,681","8,653",32.2,31.3,33.1,3.55,3.9,"1,447","5,215","11,277","3,439","2,563","1,810",49.9%,30.1%,
ZCTA5 93021,"36,422","18,098","18,324",35,34.1,35.8,3.28,3.55,"2,400","9,957","24,734","6,883","4,410","2,680",50.3%,27.3%,
ZCTA5 93022,"6,106","3,062","3,044",42.3,41.7,42.8,2.76,3.16,315,"1,349","4,541","1,732","1,196",777,49.9%,22.1%,
ZCTA5 93023,"20,589","9,805","10,784",46.8,45.3,48.1,2.44,2.98,926,"4,205","15,697","7,262","5,387","3,832",52.4%,20.4%,
ZCTA5 93030,"59,372","30,038","29,334",29.5,28.9,30.1,3.94,4.22,"5,282","18,119","38,042","9,443","6,713","4,654",49.4%,30.5%,
ZCTA5 93033,"82,728","42,604","40,124",27.8,27.4,28.3,4.81,4.75,"8,131","26,444","51,636","12,242","8,711","6,066",48.5%,32.0%,
ZCTA5 93035,"27,732","14,006","13,726",39.1,38.2,39.9,2.79,3.29,"1,735","5,996","20,685","7,326","5,370","3,589",49.5%,21.6%,
ZCTA5 93036,"41,691","20,812","20,879",30.3,29.8,30.9,3.57,3.87,"3,638","12,264","27,262","6,955","4,915","3,370",50.1%,29.4%,
ZCTA5 93040,"2,031","1,052",979,29.3,29.3,29.3,3.89,4.33,192,667,"1,258",335,226,143,48.2%,32.8%,
ZCTA5 93041,"23,641","12,046","11,595",30.1,28.5,31.9,2.98,3.53,"2,203","6,541","15,866","4,469","3,367","2,405",49.0%,27.7%,
ZCTA5 93042,56,52,4,28.9,29,28.5,,0,0,0,54,0,0,0,7.1%,0.0%,
ZCTA5 93043,333,274,59,29.5,29.7,28.8,5.24,4.65,9,27,296,9,6,5,17.7%,8.1%,
ZCTA5 93060,"32,811","16,540","16,271",31.2,30.3,32.2,3.46,3.82,"2,781","9,544","21,433","6,634","4,947","3,487",49.6%,29.1%,
ZCTA5 93063,"54,366","26,592","27,774",39,37.8,40.1,2.90,3.26,"3,158","13,220","38,955","13,019","9,248","6,177",51.1%,24.3%,
ZCTA5 93064,40,21,19,39,39.5,38.5,3.33,3.6,1,12,28,8,6,5,47.5%,30.0%,
ZCTA5 93065,"72,508","35,772","36,736",37.1,36.2,38,3.07,3.38,"4,525","18,348","51,019","15,441","10,896","7,372",50.7%,25.3%,
ZCTA5 93066,"3,102","1,586","1,516",44.1,44.3,43.9,3.04,3.3,148,670,"2,284",982,764,535,48.9%,21.6%,
ZCTA5 93067,895,424,471,43.6,41.8,45.1,2.10,2.76,25,134,743,288,198,138,52.6%,15.0%,
ZCTA5 93101,"31,683","15,998","15,685",31.6,31.1,32.3,2.49,3.38,"1,999","6,236","23,609","5,851","4,232","2,843",49.5%,19.7%,
ZCTA5 93103,"20,249","10,442","9,807",36.1,35.6,36.8,2.79,3.35,"1,219","4,070","15,254","5,052","3,686","2,474",48.4%,20.1%,
ZCTA5 93105,"24,815","11,815","13,000",46.2,44.2,48,2.24,2.82,"1,100","4,187","19,893","9,180","7,174","5,279",52.4%,16.9%,
ZCTA5 93108,"11,112","5,184","5,928",51.3,51.2,51.4,2.29,2.75,301,"1,794","8,434","4,973","3,997","2,932",53.3%,16.1%,
ZCTA5 93109,"10,858","5,459","5,399",42.2,40.4,44,2.37,2.82,413,"1,593","8,454","3,479","2,653","1,875",49.7%,14.7%,
ZCTA5 93110,"16,829","8,391","8,438",42.4,39.4,45.5,2.46,3.05,720,"3,244","12,905","5,294","4,103","3,080",50.1%,19.3%,
ZCTA5 93111,"17,370","8,350","9,020",45.2,43.6,46.6,2.69,3.13,786,"3,594","13,184","5,919","4,629","3,586",51.9%,20.7%,
ZCTA5 93117,"53,217","26,703","26,514",22.4,22.7,22,2.89,3.21,"1,962","7,244","32,539","7,507","5,504","3,855",49.8%,13.6%,
ZCTA5 93201,"1,348",690,658,24.2,24.5,24,4.12,4.49,158,523,737,183,130,92,48.8%,38.8%,
ZCTA5 93202,"4,143","1,992","2,151",28.4,27.1,29.4,3.65,3.91,381,"1,440","2,493",648,457,285,51.9%,34.8%,
ZCTA5 93203,"20,938","10,875","10,063",24.2,24,24.5,4.43,4.55,"2,376","7,986","11,683","2,257","1,586","1,079",48.1%,38.1%,
ZCTA5 93204,"15,529","11,241","4,288",34.3,36.8,25,4.08,4.25,"1,099","3,321","11,599","1,818","1,093",625,27.6%,21.4%,
ZCTA5 93205,"2,113","1,070","1,043",50.4,51.1,49.5,2.22,2.76,97,402,"1,652",874,690,529,49.4%,19.0%,
ZCTA5 93206,"2,300","1,227","1,073",26.9,26,27.4,3.86,4.19,260,837,"1,341",321,216,146,46.7%,36.4%,
ZCTA5 93207,263,132,131,58.9,57,59.8,1.95,2.57,8,41,219,145,126,92,49.8%,15.6%,
ZCTA5 93208,104,55,49,57,59.5,56.5,1.82,2.24,4,12,91,55,45,33,47.1%,11.5%,
ZCTA5 93210,"19,504","12,838","6,666",34.7,36.1,31.1,3.05,3.52,"1,178","4,157","14,421","3,183","2,092","1,320",34.2%,21.3%,
ZCTA5 93212,"26,079","19,186","6,893",34.9,36.2,28.4,3.48,3.82,"1,447","4,818","20,328","3,623","2,270","1,456",26.4%,18.5%,
ZCTA5 93215,"55,659","33,133","22,526",28.5,28.9,27.3,4.11,4.32,"4,488","16,068","36,318","7,173","5,066","3,408",40.5%,28.9%,
ZCTA5 93218,994,516,478,29.8,29.8,29.8,4.01,4.15,90,319,616,191,139,92,48.1%,32.1%,
ZCTA5 93219,"10,194","5,225","4,969",23.8,23.4,24.3,4.32,4.52,"1,147","4,028","5,573","1,286",910,609,48.7%,39.5%,
ZCTA5 93220,211,108,103,26.5,28.3,25.3,3.20,3.93,27,71,124,41,26,18,48.8%,33.6%,
ZCTA5 93221,"14,945","7,374","7,571",34.2,32.6,35.6,3.00,3.39,"1,145","4,417","9,885","3,601","2,694","1,873",50.7%,29.6%,
ZCTA5 93222,"2,099","1,065","1,034",51.5,51.5,51.5,2.19,2.7,82,376,"1,671",915,682,467,49.3%,17.9%,
ZCTA5 93223,"10,604","5,343","5,261",26.2,26,26.6,4.08,4.28,"1,124","3,898","6,148","1,453","1,037",697,49.6%,36.8%,
ZCTA5 93224,451,226,225,41.4,40.5,41.8,2.67,3.09,21,97,332,130,92,61,49.9%,21.5%,
ZCTA5 93225,"5,077","2,585","2,492",44,44.1,43.9,2.44,2.99,253,"1,141","3,732","1,500","1,027",664,49.1%,22.5%,
ZCTA5 93226,282,135,147,54.7,56.5,54.1,2.17,2.61,13,45,233,139,104,68,52.1%,16.0%,
ZCTA5 93230,"65,264","32,209","33,055",31.4,30.4,32.4,3.05,3.5,"5,770","19,959","42,332","12,991","9,602","6,795",50.6%,30.6%,
ZCTA5 93234,"6,987","3,693","3,294",24.9,24.8,25,4.36,4.44,798,"2,582","3,990",751,510,339,47.1%,37.0%,
ZCTA5 93235,"4,559","2,341","2,218",27.5,27.5,27.5,3.92,4.13,458,"1,579","2,743",719,487,330,48.7%,34.6%,
ZCTA5 93238,"1,490",738,752,55.5,54.8,56.2,1.93,2.52,63,200,"1,256",759,610,442,50.5%,13.4%,
ZCTA5 93239,"1,688",886,802,26.1,25.5,26.6,4.04,4.24,186,625,977,206,133,91,47.5%,37.0%,
ZCTA5 93240,"6,056","2,971","3,085",50.5,49.4,51.6,2.14,2.72,316,"1,090","4,757","2,552","2,045","1,560",50.9%,18.0%,
ZCTA5 93241,"17,489","9,258","8,231",24.6,24.6,24.6,4.42,4.46,"2,025","6,264","10,059","2,021","1,394",933,47.1%,35.8%,
ZCTA5 93242,"3,468","1,817","1,651",30.8,30.1,31.6,3.46,3.84,276,"1,054","2,234",641,459,325,47.6%,30.4%,
ZCTA5 93243,"1,699",884,815,40.9,41,40.8,2.73,3.31,99,441,"1,185",484,348,221,48.0%,26.0%,
ZCTA5 93244,534,272,262,45.3,45.8,44.8,2.51,3.01,24,122,389,166,125,88,49.1%,22.8%,
ZCTA5 93245,"37,412","19,344","18,068",26.7,25.9,27.9,3.06,3.45,"3,755","11,516","23,756","5,082","3,686","2,502",48.3%,30.8%,
ZCTA5 93247,"17,423","8,818","8,605",26.4,25.6,27.2,3.77,4.09,"1,801","6,285","10,196","2,794","2,077","1,483",49.4%,36.1%,
ZCTA5 93249,"2,739","1,559","1,180",22.7,23.5,21.2,5.18,4.88,382,"1,103","1,451",187,128,77,43.1%,40.3%,
ZCTA5 93250,"13,522","7,572","5,950",25.9,26.4,24.9,4.37,4.47,"1,425","4,729","8,052","1,396",963,644,44.0%,35.0%,
ZCTA5 93251,270,143,127,38.5,35.8,39.8,3.21,3.55,19,67,185,66,49,30,47.0%,24.8%,
ZCTA5 93252,"4,176","3,301",875,38.4,38.3,38.9,2.81,3.23,118,487,"3,583",695,455,253,21.0%,11.7%,
ZCTA5 93254,811,420,391,35.1,33.3,35.8,2.89,3.47,70,243,535,181,126,88,48.2%,30.0%,
ZCTA5 93255,614,297,317,54.5,54.9,54.1,2.15,2.79,6,88,507,300,248,177,51.6%,14.3%,
ZCTA5 93256,"5,753","2,959","2,794",24,23.6,24.4,4.09,4.3,667,"2,256","3,154",672,468,320,48.6%,39.2%,
ZCTA5 93257,"75,004","37,366","37,638",29.1,28.2,29.8,3.44,3.83,"7,304","25,038","46,262","13,811","10,143","7,052",50.2%,33.4%,
ZCTA5 93258,"2,046","1,044","1,002",23.5,22.2,25.2,4.48,4.59,232,824,"1,103",280,199,140,49.0%,40.3%,
ZCTA5 93260,200,105,95,56.5,57.5,55.8,2.08,2.54,6,24,173,104,78,58,47.5%,12.0%,
ZCTA5 93261,"3,099","1,637","1,462",22.8,22,23.8,4.78,4.74,362,"1,249","1,646",311,203,139,47.2%,40.3%,
ZCTA5 93262,63,41,22,26.5,26.3,27.5,1.50,2,0,0,55,7,5,2,34.9%,0.0%,
ZCTA5 93263,"19,582","10,046","9,536",26.2,26.1,26.3,3.83,4.09,"1,979","6,984","11,462","2,714","1,927","1,365",48.7%,35.7%,
ZCTA5 93265,"3,699","1,859","1,840",51.2,49.9,52.2,2.41,2.83,150,657,"2,928","1,593","1,260",875,49.7%,17.8%,
ZCTA5 93266,"1,587",804,783,28.4,28.6,28.1,3.92,4.19,156,534,976,286,197,136,49.3%,33.6%,
ZCTA5 93267,"6,237","3,150","3,087",27.5,27.3,27.8,3.83,4.16,643,"2,200","3,684","1,090",803,553,49.5%,35.3%,
ZCTA5 93268,"16,897","8,877","8,020",30,29.1,31.1,3.04,3.48,"1,479","4,916","10,933","3,166","2,293","1,601",47.5%,29.1%,
ZCTA5 93270,"5,837","3,027","2,810",29.5,29.5,29.5,3.72,4.05,584,"1,975","3,588","1,094",794,519,48.1%,33.8%,
ZCTA5 93271,"2,276","1,129","1,147",52.3,51.7,53.2,2.13,2.71,79,367,"1,849","1,032",778,553,50.4%,16.1%,
ZCTA5 93272,"3,583","1,877","1,706",25,24.6,25.3,3.93,4.24,400,"1,413","2,005",403,276,198,47.6%,39.4%,
ZCTA5 93274,"69,721","34,546","35,175",29.2,28.3,30.1,3.36,3.71,"6,489","23,287","43,021","12,119","8,972","6,268",50.5%,33.4%,
ZCTA5 93276,161,83,78,32.5,40.3,29,2.93,3.29,12,45,105,34,26,17,48.4%,28.0%,
ZCTA5 93277,"50,607","24,308","26,299",34.5,32.6,36.3,2.74,3.21,"3,861","13,987","34,408","12,213","9,388","6,792",52.0%,27.6%,
ZCTA5 93280,"27,152","16,585","10,567",28.3,29.2,26.3,3.85,4.1,"2,361","7,929","17,650","3,228","2,146","1,407",38.9%,29.2%,
ZCTA5 93283,"2,040","1,002","1,038",50.3,51.1,49.6,2.28,2.77,91,372,"1,598",854,680,496,50.9%,18.2%,
ZCTA5 93285,"2,536","1,266","1,270",58.3,58.7,57.9,1.93,2.48,72,312,"2,168","1,420","1,189",928,50.1%,12.3%,
ZCTA5 93286,"9,548","4,826","4,722",29,28.2,29.8,3.51,3.85,900,"3,232","5,809","1,744","1,262",830,49.5%,33.9%,
ZCTA5 93287,119,66,53,50.2,50.3,49.5,2.43,2.67,3,18,95,47,34,22,44.5%,15.1%,
ZCTA5 93291,"52,849","26,896","25,953",29.1,28.8,29.5,3.33,3.73,"5,033","17,007","33,237","8,600","6,136","4,107",49.1%,32.2%,
ZCTA5 93292,"39,032","19,207","19,825",31.9,31.1,32.7,3.03,3.42,"3,236","11,716","25,626","7,811","5,547","3,733",50.8%,30.0%,
ZCTA5 93301,"12,248","5,825","6,423",30.9,30.3,31.5,2.37,3.17,"1,232","3,286","8,382","2,643","2,054","1,534",52.4%,26.8%,
ZCTA5 93304,"48,731","23,995","24,736",28.6,27.4,29.8,3.22,3.79,"4,778","16,066","30,133","8,378","6,126","4,306",50.8%,33.0%,
ZCTA5 93305,"37,601","19,042","18,559",26.7,26.2,27.3,3.39,3.84,"4,230","13,085","22,434","5,500","3,921","2,696",49.4%,34.8%,
ZCTA5 93306,"64,587","31,613","32,974",30.6,29.4,31.9,3.18,3.58,"5,775","20,183","41,204","13,320","9,795","6,868",51.1%,31.2%,
ZCTA5 93307,"82,658","41,331","41,327",25.6,25.2,25.9,3.87,4.17,"9,008","30,503","47,383","10,715","7,373","4,963",50.0%,36.9%,
ZCTA5 93308,"52,447","26,239","26,208",33.6,32.4,34.8,2.69,3.16,"4,169","13,863","36,108","11,461","8,241","5,750",50.0%,26.4%,
